year,state,county_name,Biden,Trump,mode
2020,TEXAS,CASS,2795,11033,TOTAL
2020,TEXAS,CASTRO,466,1602,TOTAL
2020,TEXAS,CHAMBERS,3997,17353,TOTAL
2020,TEXAS,CHEROKEE,4210,15101,TOTAL
2020,TEXAS,CHILDRESS,310,1943,TOTAL
2020,TEXAS,CLAY,614,5069,TOTAL
2020,TEXAS,COCHRAN,177,809,TOTAL
2020,TEXAS,COKE,178,1586,TOTAL
2020,TEXAS,COLEMAN,451,3641,TOTAL
2020,TEXAS,COLLIN,230945,252318,TOTAL
2020,TEXAS,COLLINGSWORTH,155,1048,TOTAL
2020,TEXAS,COLORADO,2420,7472,TOTAL
2020,TEXAS,COMAL,24826,62740,TOTAL
2020,TEXAS,COMANCHE,853,5177,TOTAL
2020,TEXAS,CONCHO,197,1058,TOTAL
2020,TEXAS,COOKE,3210,15596,TOTAL
2020,TEXAS,CORYELL,7565,15438,TOTAL
2020,TEXAS,COTTLE,113,540,TOTAL
2020,TEXAS,CRANE,241,1247,TOTAL
2020,TEXAS,CROCKETT,344,1220,TOTAL
2020,TEXAS,CROSBY,527,1396,TOTAL
2020,TEXAS,CULBERSON,438,415,TOTAL
2020,TEXAS,DALLAM,197,1389,TOTAL
2020,TEXAS,DALLAS,598576,307076,TOTAL
2020,TEXAS,DAWSON,808,2951,TOTAL
2020,TEXAS,DEAF SMITH,1264,3294,TOTAL
2020,TEXAS,DELTA,403,2162,TOTAL
2020,TEXAS,DENTON,188695,222480,TOTAL
2020,TEXAS,DEWITT,1494,6567,TOTAL
2020,TEXAS,DICKENS,130,853,TOTAL
2020,TEXAS,DIMMIT,2264,1384,TOTAL
2020,TEXAS,DONLEY,198,1438,TOTAL
2020,TEXAS,DUVAL,2575,2443,TOTAL
2020,TEXAS,EASTLAND,983,7237,TOTAL
2020,TEXAS,ECTOR,11367,32697,TOTAL
2020,TEXAS,EDWARDS,168,893,TOTAL
2020,TEXAS,ELLIS,27565,56717,TOTAL
2020,TEXAS,EL PASO,178126,84331,TOTAL
2020,TEXAS,ERATH,2916,13684,TOTAL
2020,TEXAS,FALLS,1899,4177,TOTAL
2020,TEXAS,FANNIN,2655,12171,TOTAL
2020,TEXAS,FAYETTE,2661,10171,TOTAL
2020,TEXAS,FISHER,352,1448,TOTAL
2020,TEXAS,FLOYD,438,1584,TOTAL
2020,TEXAS,FOARD,99,445,TOTAL
2020,TEXAS,FORT BEND,195552,157718,TOTAL
2020,TEXAS,FRANKLIN,804,4161,TOTAL
2020,TEXAS,FREESTONE,1635,6991,TOTAL
2020,TEXAS,FRIO,2422,2823,TOTAL
2020,TEXAS,GAINES,576,5355,TOTAL
2020,TEXAS,GALVESTON,58842,93911,TOTAL
